facet_id,facet_name,category,observable_in_text,score_type,score_1_label,score_2_label,score_3_label,score_4_label,score_5_label
1,Risktaking,safety,True,qualitative,Very Low,Low,Moderate,High,Very High
2,Naivety,other,True,qualitative,Very Low,Low,Moderate,High,Very High
3,Acidity,other,True,qualitative,Very Low,Low,Moderate,High,Very High
4,Democratic Leadership,other,True,qualitative,Very Low,Low,Moderate,High,Very High
5,Common-sense,other,True,qualitative,Very Low,Low,Moderate,High,Very High
6,Hesitation,other,True,qualitative,Very Low,Low,Moderate,High,Very High
7,Discontentment,emotion,True,qualitative,Very Low,Low,Moderate,High,Very High
8,Overprotectiveness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
9,Merriness,emotion,True,qualitative,Very Low,Low,Moderate,High,Very High
10,Emotionalism,emotion,True,qualitative,Very Low,Low,Moderate,High,Very High
11,Self-improvement,motivation,True,qualitative,Very Low,Low,Moderate,High,Very High
12,Statistical Reasoning,cognitive,True,qualitative,Very Low,Low,Moderate,High,Very High
13,Assertiveness and control in relationships,other,True,qualitative,Very Low,Low,Moderate,High,Very High
14,Cunningness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
15,Adventure-Seeking Behavior,other,True,qualitative,Very Low,Low,Moderate,High,Very High
16,Compassion Fatigue,social,True,qualitative,Very Low,Low,Moderate,High,Very High
17,Moroseness,emotion,True,qualitative,Very Low,Low,Moderate,High,Very High
18,Specialist,other,True,qualitative,Very Low,Low,Moderate,High,Very High
19,Aloofness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
20,Genuine,other,True,qualitative,Very Low,Low,Moderate,High,Very High
21,Determinedness,motivation,True,qualitative,Very Low,Low,Moderate,High,Very High
22,HonestyHumility,other,True,qualitative,Very Low,Low,Moderate,High,Very High
23,Relationship Building Themes,other,True,qualitative,Very Low,Low,Moderate,High,Very High
24,Pure Challenge,other,True,qualitative,Very Low,Low,Moderate,High,Very High
25,Numerical Reasoning Subcomponents,cognitive,True,qualitative,Very Low,Low,Moderate,High,Very High
26,Openness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
27,SelfEsteem,other,True,qualitative,Very Low,Low,Moderate,High,Very High
28,Comparing alphanumeric data,other,True,qualitative,Very Low,Low,Moderate,High,Very High
29,Big-heartedness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
30,Compulsive activities,other,True,qualitative,Very Low,Low,Moderate,High,Very High
31,Disrespect,safety,True,qualitative,Very Low,Low,Moderate,High,Very High
33,Self Perspective,other,True,qualitative,Very Low,Low,Moderate,High,Very High
34,Desperation,emotion,True,qualitative,Very Low,Low,Moderate,High,Very High
35,Affiliation Motivation,motivation,True,qualitative,Very Low,Low,Moderate,High,Very High
37,Passive-Aggressive,safety,True,qualitative,Very Low,Low,Moderate,High,Very High
40,Structure,other,True,qualitative,Very Low,Low,Moderate,High,Very High
42,Chivalrousness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
45,Submissiveness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
47,Sensitiveness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
48,Negative Affect Frequency,emotion,True,quantitative,Very Low,Low,Moderate,High,Very High
49,Innovation and Creativity Components,other,True,qualitative,Very Low,Low,Moderate,High,Very High
50,Achievement Motivation,motivation,True,qualitative,Very Low,Low,Moderate,High,Very High
53,Enthusiasm,other,True,qualitative,Very Low,Low,Moderate,High,Very High
54,Psychological construct: Social Desirability tendency,cognitive,True,qualitative,Very Low,Low,Moderate,High,Very High
55,Inattentiveness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
56,Unassertiveness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
57,Decision-making decisiveness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
58,Sense-of-coherence score,linguistic,True,qualitative,Very Low,Low,Moderate,High,Very High
59,Justice-mindedness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
61,Depression Symptoms,other,True,qualitative,Very Low,Low,Moderate,High,Very High
62,Spatial perception,other,True,qualitative,Very Low,Low,Moderate,High,Very High
63,Brevity,other,True,qualitative,Very Low,Low,Moderate,High,Very High
64,Orderliness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
65,Multiculturalism,other,True,qualitative,Very Low,Low,Moderate,High,Very High
66,Creative risk-taking tendency,safety,True,qualitative,Very Low,Low,Moderate,High,Very High
67,Inefficiency,other,True,qualitative,Very Low,Low,Moderate,High,Very High
70,Work Styles,other,True,qualitative,Very Low,Low,Moderate,High,Very High
71,Character strength: Perseverance,other,True,qualitative,Very Low,Low,Moderate,High,Very High
72,Competition,other,True,qualitative,Very Low,Low,Moderate,High,Very High
73,Logical Sequence Identification,cognitive,True,qualitative,Very Low,Low,Moderate,High,Very High
75,Hardworking,other,True,qualitative,Very Low,Low,Moderate,High,Very High
76,Emotional-intelligence measure: Impulsiveness,emotion,True,qualitative,Very Low,Low,Moderate,High,Very High
77,Dishonesty,other,True,qualitative,Very Low,Low,Moderate,High,Very High
78,Preferred epistemology,other,True,qualitative,Very Low,Low,Moderate,High,Very High
79,Memory for Sounds,other,True,qualitative,Very Low,Low,Moderate,High,Very High
81,Immaturity,other,True,qualitative,Very Low,Low,Moderate,High,Very High
83,Estimating Calculations,other,True,qualitative,Very Low,Low,Moderate,High,Very High
84,Depression: Feelings of sadness and hopelessness,emotion,True,qualitative,Very Low,Low,Moderate,High,Very High
85,Synthesis of information,other,True,qualitative,Very Low,Low,Moderate,High,Very High
86,Leadership Potential,other,True,qualitative,Very Low,Low,Moderate,High,Very High
87,Ethical standards,other,True,qualitative,Very Low,Low,Moderate,High,Very High
88,High-spiritedness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
89,Critical reasoning,cognitive,True,qualitative,Very Low,Low,Moderate,High,Very High
92,Collaboration,social,True,qualitative,Very Low,Low,Moderate,High,Very High
93,Precision of Movements,other,True,qualitative,Very Low,Low,Moderate,High,Very High
94,Social Boldness,social,True,qualitative,Very Low,Low,Moderate,High,Very High
95,Auditory memory,other,True,qualitative,Very Low,Low,Moderate,High,Very High
96,Psychomotor Ability Subcomponents,other,True,qualitative,Very Low,Low,Moderate,High,Very High
97,Organized lifestyle,other,True,qualitative,Very Low,Low,Moderate,High,Very High
99,Mysteriousness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
100,Cultural Identity,other,True,qualitative,Very Low,Low,Moderate,High,Very High
101,Intrinsic Motivation,motivation,True,qualitative,Very Low,Low,Moderate,High,Very High
102,Impartial-mindedness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
103,Burnout Symptoms,other,True,qualitative,Very Low,Low,Moderate,High,Very High
104,Holiness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
105,Selfcontrol,other,True,qualitative,Very Low,Low,Moderate,High,Very High
106,SelfDirectedness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
107,Encouraging participation,other,True,qualitative,Very Low,Low,Moderate,High,Very High
108,Impracticalness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
109,Meeting Deadlines,other,True,qualitative,Very Low,Low,Moderate,High,Very High
110,Data Analysis,other,True,qualitative,Very Low,Low,Moderate,High,Very High
111,Social Interaction Skills,social,True,qualitative,Very Low,Low,Moderate,High,Very High
112,Psychoticism,other,True,qualitative,Very Low,Low,Moderate,High,Very High
114,Slothfulness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
117,Neuroticism,other,True,qualitative,Very Low,Low,Moderate,High,Very High
118,Desire for excellence,other,True,qualitative,Very Low,Low,Moderate,High,Very High
119,Perceiving,other,True,qualitative,Very Low,Low,Moderate,High,Very High
120,Liberalism,other,True,qualitative,Very Low,Low,Moderate,High,Very High
122,Affection,emotion,True,qualitative,Very Low,Low,Moderate,High,Very High
124,Martyrdom,other,True,qualitative,Very Low,Low,Moderate,High,Very High
127,Judging (J),other,True,qualitative,Very Low,Low,Moderate,High,Very High
128,Big Five facet Openness – Artistic Interests,other,True,qualitative,Very Low,Low,Moderate,High,Very High
129,Psychological construct: Operant-Learning rate,cognitive,True,qualitative,Very Low,Low,Moderate,High,Very High
130,Psychological construct: Need for Achievement level,cognitive,True,quantitative,Very Low,Low,Moderate,High,Very High
131,Cantankerousness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
132,Material properties knowledge,other,True,qualitative,Very Low,Low,Moderate,High,Very High
133,Hostility,other,True,qualitative,Very Low,Low,Moderate,High,Very High
134,Independence,other,True,qualitative,Very Low,Low,Moderate,High,Very High
140,Need for social interaction,social,True,qualitative,Very Low,Low,Moderate,High,Very High
141,Peer-collaboration hours,social,True,qualitative,Very Low,Low,Moderate,High,Very High
142,Arts and Humanities,other,True,qualitative,Very Low,Low,Moderate,High,Very High
145,Compassion,social,True,qualitative,Very Low,Low,Moderate,High,Very High
146,Information Retention,other,True,qualitative,Very Low,Low,Moderate,High,Very High
148,Self-righteousness,other,True,qualitative,Very Low,Low,Moderate,High,Very High
149,General Mood and Attitude,emotion,True,qualitative,Very Low,Low,Moderate,High,Very High
150,Serotonin transporter availability,other,True,qualitative,Very Low,Low,Moderate,High,Very High
151,Contribution to Group Goals,other,True,qualitative,Very Low,Low,Moderate,High,Very High
152,Dignity,other,True,qualitative,Very Low,Low,Moderate,High,Very High
